age,StateName,"(1.0, 1.0)","(1.0, 2.0)","(1.0, 3.0)","(1.0, 4.0)","(1.0, 5.0)","(1.0, 6.0)","(1.0, 7.0)","(1.0, 8.0)","(2.0, 1.0)","(2.0, 2.0)","(2.0, 3.0)","(2.0, 4.0)","(2.0, 5.0)","(2.0, 6.0)","(2.0, 7.0)","(2.0, 8.0)","('TotalPOP', '')","('key', '')"
59,Maine,10093,10869,106,58,75,77,65,122,74,107,12,5,7,2,2,2,21676,3029
62,Maine,9976,11027,109,44,74,79,59,129,64,87,7,7,6,4,0,1,21673,3182
42,West Virginia,9907,10093,479,401,14,31,127,135,259,157,16,6,2,4,5,0,21636,2191
65,Idaho,9581,10198,81,46,99,144,112,173,551,548,4,3,41,35,11,4,21631,3328
41,West Virginia,9986,10022,511,390,18,18,137,110,222,159,13,17,7,4,3,3,21620,2140
43,West Virginia,9826,10181,429,364,18,23,107,136,274,196,17,13,10,5,6,2,21607,2242
24,West Virginia,9924,9640,690,496,28,23,173,112,229,227,21,20,6,3,2,5,21599,1273
49,Idaho,9268,9039,106,58,129,137,175,260,1202,1030,8,18,62,64,23,13,21592,2512
78,Connecticut,8047,10072,597,940,13,28,280,336,455,679,42,66,10,15,4,8,21592,3985
0,Idaho,8294,7873,198,199,165,162,278,256,1829,1762,55,52,163,160,54,47,21547,13
45,Idaho,9030,8720,97,78,128,129,223,300,1314,1269,18,16,101,66,27,20,21536,2308
